Country Index,Country Name,Year,GDP per-capita (annual)
1,USA,1960,2879
1,USA,1961,2929
1,USA,1962,3103
1,USA,1963,3227
1,USA,1964,3420
1,USA,1965,3667
1,USA,1966,3974
1,USA,1967,4154
1,USA,1968,4494
1,USA,1969,4805
1,USA,1970,4999
1,USA,1971,5362
1,USA,1972,5838
1,USA,1973,6464
1,USA,1974,6951
1,USA,1975,7519
1,USA,1976,8300
1,USA,1977,9146
1,USA,1978,10229
1,USA,1979,11306
1,USA,1980,12186
1,USA,1981,13533
1,USA,1982,13940
1,USA,1983,15008
1,USA,1984,16549
1,USA,1985,17600
1,USA,1986,18439
1,USA,1987,19407
1,USA,1988,20711
1,USA,1989,22047
1,USA,1990,23064
1,USA,1991,23507
1,USA,1992,24509
1,USA,1993,25409
1,USA,1994,26670
1,USA,1995,27574
1,USA,1996,28814
1,USA,1997,30262
1,USA,1998,31519
1,USA,1999,33028
1,USA,2000,34603
1,USA,2001,35341
1,USA,2002,36180
1,USA,2003,37548
3,Austria,1960,1796
3,Austria,1961,1899
3,Austria,1962,1977
3,Austria,1963,2074
3,Austria,1964,2224
3,Austria,1965,2336
3,Austria,1966,2537
3,Austria,1967,2668
3,Austria,1968,2908
3,Austria,1969,3239
3,Austria,1970,3732
3,Austria,1971,4100
3,Austria,1972,4513
3,Austria,1973,4969
3,Austria,1974,5622
3,Austria,1975,6147
3,Austria,1976,6810
3,Austria,1977,7588
3,Austria,1978,8117
3,Austria,1979,9288
3,Austria,1980,10312
3,Austria,1981,11242
3,Austria,1982,12148
3,Austria,1983,13048
3,Austria,1984,13533
3,Austria,1985,14296
3,Austria,1986,14921
3,Austria,1987,15549
3,Austria,1988,16595
3,Austria,1989,17768
3,Austria,1990,19070
3,Austria,1991,20172
3,Austria,1992,20960
3,Austria,1993,21220
3,Austria,1994,22139
3,Austria,1995,22976
3,Austria,1996,24008
3,Austria,1997,24472
3,Austria,1998,25314
3,Austria,1999,26558
3,Austria,2000,28359
3,Austria,2001,28855
3,Austria,2002,29942
3,Austria,2003,30796
7,West Germany,1960,2284
7,West Germany,1961,2388
7,West Germany,1962,2527
7,West Germany,1963,2610
7,West Germany,1964,2806
7,West Germany,1965,3005
7,West Germany,1966,3168
7,West Germany,1967,3241
7,West Germany,1968,3571
7,West Germany,1969,3998
